rl_loss/qf1_loss,rl_loss/qf2_loss,rl_loss/policy_loss,rl_loss/policy_entropy,rl_loss/alpha,z/env_steps,z/rollouts,z/rl_steps,metrics/return_eval_avg,metrics/total_steps_eval_avg,z/time_cost,z/fps
0.0019,0.0019,-6.975,0.0,0.1,,,,,,,
0.0029,0.0024,-6.9718,0.0,0.1,,,,,,,
0.0014,0.0023,-6.9251,0.0,0.1,,,,,,,
,,,,,107608,9370,373000,6.0,7.0,3204,20.9287
0.0031,0.0016,-7.0241,0.0,0.1,,,,,,,
0.0008,0.0024,-7.0088,0.0,0.1,,,,,,,
0.0028,0.0015,-6.9978,0.0,0.1,,,,,,,
0.0027,0.0039,-6.9804,0.0,0.1,,,,,,,
0.0025,0.0024,-6.9716,0.0,0.1,,,,,,,
0.002,0.0005,-7.0146,0.0,0.1,,,,,,,
0.0046,0.0028,-7.0168,0.0,0.1,,,,,,,
0.0007,0.0038,-7.01,0.0,0.1,,,,,,,
0.0019,0.0036,-7.0548,0.0,0.1,,,,,,,
0.0035,0.0007,-6.9993,0.0,0.1,,,,,,,
